nombre,precio
100% Dark Hot Chocolate Flakes,£4.00
2.5kg Bulk 41% Milk Hot Chocolate Drops,£35.00
2.5kg Bulk 61% Dark Hot Chocolate Drops,£35.00
41% Milk Hot Chocolate Drops,£8.75
61% Dark Hot Chocolate Drops,£8.75
70% Dark Hot Chocolate Flakes,£9.95
Almost Perfect,£1.50
Assorted Chocolate Malt Balls,£9.00
Blonde Caramel,£5.00
Blonde Chocolate Honeycomb,£9.00
Blonde Chocolate Honeycomb - Bag,£8.50
Blonde Chocolate Malt Balls,£9.00
Blonde Chocolate Truffles,£19.95
Blonde Hot Chocolate Flakes,£4.00
Bulk 41% Milk Hot Chocolate Drops 750 grams,£17.50
Bulk 61% Dark Hot Chocolate Drops 750 grams,£17.50
Caramelised Milk,£5.00
Caramelised Milk Chocolate Tarte Tatin Chocolate Easter Egg,£17.50
Chocolate Caramelised Pecan Nuts,£4.50
Chocolate Celebration Hamper,£55.00
Cinnamon Toast,£3.00
Coconut Easter Egg,£15.00
Collection of 4 of our Best Selling Chocolate Malt Balls,£30.00
Colombia 61%,£5.00
Colombian 41%,£5.00
Crème Brûlée White Chocolate Easter Egg,£17.50
Crunchy Biscuit,£3.00
Dark Chocolate Ginger,£8.95
Dark Chocolate Honeycomb,£9.00
Dark Chocolate Honeycomb - Bag,£8.50
Dark Chocolate Honeycomb Egg & Honeycomb (Large),£12.50
Dark Chocolate Malt Balls,£9.00
Dark Chocolate Orange Peel,£8.95
Dark Chocolate Truffles,£19.95
Flat White Coffee,£5.00
Gift Voucher,£10.00
Ginger Biscuit,£5.00
Hokey Pokey Blondie Egg & Honeycomb (Large),£12.50
Hokey Pokey Blondie Egg (Small),£4.50
Hokey Pokey Milkey Egg (Small),£4.50
Hokey Pokey Wicked Egg (Small),£4.50
Honeycomb Crunch,£5.00
Hot Chocolate Shaker,£25.00
Luxury Chocolate Hamper,£85.00
Luxury Chocolate Hamper with bottle of Champagne,£100.00
Luxury Hot Chocolate Hamper,£50.00
Marc De Champagne Truffles,£10.00
Marmalade,£5.00
May Box of the Month,  £30.00
Milk Chocolate Honeycomb,£9.00
Milk Chocolate Honeycomb - Bag,£8.50
Milk Chocolate Honeycomb Egg & Honeycomb (Large),£15.00
Milk Chocolate Malt Balls,£9.00
Milk Chocolate Truffles,£19.95
Mixed Chocolate Mini Eggs,£12.00
Mother's Day Mystery Hamper,£50.00
Oat M!lk Hot Chocolate Flakes,£4.00
Orange Dark Hot Chocolate Flakes,£9.95
Orange Malt Balls,£5.00
Peppermint Malt Balls,£5.00
Peppermint Swirl,£5.00
Pistachio & Cranberry,£5.00
Praline Quail Eggs,£4.50
Pretzel Caramel,£5.00
Roasted Almonds,£4.50
Salt Caramel Malt Balls,£9.00
Salt Caramelised Hazelnuts,£4.50
Salted Caramel,£5.00
Salted Caramel Florentines,£7.00
Salted Caramel Milk Chocolate Easter Egg,£14.00
Salted Caramel Quail Eggs,£5.00
Salted Caramels Blonde Chocolate,£19.95
Salted Caramels Dark Chocolate,£19.95
Salted Caramels Milk Chocolate,£19.95
Valrhona Araguani - 72%,£77.50
Valrhona Bahibe 46%,£75.00
Valrhona Biskelia 34%,£75.00
Valrhona Caraibe 66%,£75.00
Valrhona Caramelia 36%,£75.00
Valrhona Dulcey 32%,£77.50
Valrhona Guanaja 70%,£75.00
Valrhona Jivara 40%,£75.00
Valrhona Manjari 64%,£75.00
Valrhona Opalys 33%,£75.00
Velvet White,£2.50
